"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1952,28.801,8.42533e+06,779.445
"Afghanistan","Asia",1957,30.332,9.24093e+06,820.853
"Afghanistan","Asia",1962,31.997,1.02671e+07,853.101
"Afghanistan","Asia",1967,34.02,1.1538e+07,836.197
"Afghanistan","Asia",1972,36.088,1.30795e+07,739.981
"Afghanistan","Asia",1977,38.438,1.48804e+07,786.113
"Afghanistan","Asia",1982,39.854,1.28818e+07,978.011
"Afghanistan","Asia",1987,40.822,1.3868e+07,852.396
"Afghanistan","Asia",1992,41.674,1.63179e+07,649.341
"Afghanistan","Asia",1997,41.763,2.22274e+07,635.341
"Afghanistan","Asia",2002,42.129,2.52684e+07,726.734
"Afghanistan","Asia",2007,43.828,3.18899e+07,974.58
"Albania","Europe",1952,55.23,1.2827e+06,1601.06
"Albania","Europe",1957,59.28,1.4765e+06,1942.28
"Albania","Europe",1962,64.82,1.72814e+06,2312.89
"Albania","Europe",1967,66.22,1.98406e+06,2760.2
"Albania","Europe",1972,67.69,2.26355e+06,3313.42
"Albania","Europe",1977,68.93,2.50905e+06,3533
"Albania","Europe",1982,70.42,2.7801e+06,3630.88
"Albania","Europe",1987,72,3.07532e+06,3738.93
"Albania","Europe",1992,71.581,3.3265e+06,2497.44
"Albania","Europe",1997,72.95,3.42804e+06,3193.05
"Albania","Europe",2002,75.651,3.50851e+06,4604.21
"Albania","Europe",2007,76.423,3.60052e+06,5937.03
"Algeria","Africa",1952,43.077,9.27952e+06,2449.01
"Algeria","Africa",1957,45.685,1.02709e+07,3013.98
"Algeria","Africa",1962,48.303,1.10009e+07,2550.82
"Algeria","Africa",1967,51.407,1.27605e+07,3246.99
"Algeria","Africa",1972,54.518,1.47608e+07,4182.66
"Algeria","Africa",1977,58.014,1.71528e+07,4910.42
"Algeria","Africa",1982,61.368,2.00338e+07,5745.16
"Algeria","Africa",1987,65.799,2.3255e+07,5681.36
"Algeria","Africa",1992,67.744,2.62984e+07,5023.22
"Algeria","Africa",1997,69.152,2.9072e+07,4797.3
"Algeria","Africa",2002,70.994,3.12871e+07,5288.04
"Algeria","Africa",2007,72.301,3.33332e+07,6223.37
"Angola","Africa",1952,30.015,4.2321e+06,3520.61
"Angola","Africa",1957,31.999,4.56136e+06,3827.94
"Angola","Africa",1962,34,4.82602e+06,4269.28
"Angola","Africa",1967,35.985,5.24747e+06,5522.78
"Angola","Africa",1972,37.928,5.89486e+06,5473.29
